Cluster,Description,Avg_Total_Servings,Avg_Student_Count,Avg_Event_Flag,Avg_Vacation_Flag,Dominant_Meal,Strategic_Recommendation
0,lower-demand days,22645.672967863895,3297.807183364839,0.005671077504725898,0.0,Lunch,"For Cluster 0 (lower-demand days), average total daily servings are ≈ 22646 with ≈ 3298 students present. These days are dominated by **Lunch** demand. These are good candidates for slightly reduced batch sizes to control waste. "
1,"high-demand days, often event-heavy",36874.78947368421,4438.503759398496,0.8646616541353384,0.0,Lunch,"For Cluster 1 (high-demand days, often event-heavy), average total daily servings are ≈ 36875 with ≈ 4439 students present. These days are dominated by **Lunch** demand. Plan slightly higher production for core dishes and avoid under-preparation. Since this cluster is event-heavy, include at least one premium / special dish. "
2,"lower-demand days, often vacation/holiday-like",8255.810924369747,1605.7899159663866,0.0,1.0,Lunch,"For Cluster 2 (lower-demand days, often vacation/holiday-like), average total daily servings are ≈ 8256 with ≈ 1606 students present. These days are dominated by **Lunch** demand. These are good candidates for slightly reduced batch sizes to control waste. Since this cluster is vacation-like, keep the menu simpler with fewer varieties. "
3,high-demand days,27892.830659536543,3930.0142602495544,0.07130124777183601,0.0,Lunch,"For Cluster 3 (high-demand days), average total daily servings are ≈ 27893 with ≈ 3930 students present. These days are dominated by **Lunch** demand. Plan slightly higher production for core dishes and avoid under-preparation. "
